,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
12,Ananas Noire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ananas+Noire,,Specialty,Open Pollinated,Late,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Bi-color,Bi-color,,Unique color combination of yellow with red and purple streaks.,,,,,,
13,Andiamo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andiamo,,Heirloom,Open Pollinated,Very Early,Normal,Indeterminate,5 ft.,6 oz.,Plum,Red,Red,,Fruit elongated San Marzano type.,Italy,,,,,
14,Andrew Rahart's Jumbo Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andrew+Rahart's+Jumbo+Red,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Flattened Globe,Red,Red,,,USA,From New York.,,,,
15,Andrina,https://njaes.rutgers.edu/tomato-varieties/variety.php?Andrina,,Heirloom,Open Pollinated,Early,Normal,Determinate,6 ft.,1 oz.,Cherry,Red,Red,,Strong tangy flavor?,Russia,,Fresh,Seed Exchange,,
16,Anna Aasa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Anna+Aasa,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,,0.38 oz.,Cherry,Red,Red,,,,,,,,
17,Apero,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apero,,Commercial,Hybrid,Early,Normal,Indeterminate,6 ft.,1 oz.,Grape,Red,Red,,"High resistance to FNT, exceptional flavor? and foliar disease resistance",,,,,,
18,Applause,https://njaes.rutgers.edu/tomato-varieties/variety.php?Applause,,Commercial,Hybrid,Early,Normal,Determinate,3 ft.,8 - 12 oz.,Flattened Globe,Red,Red,,Compact.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
19,Apple Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apple+Yellow,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Yellow,Yellow,,"2020 AAS Winner, fruit shaped like an apple with dimpled blossom end.",,,,,,
20,Apricot Zebra Hybrid,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apricot+Zebra+Hybrid,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,3 oz.,Cherry,Orange,Orange,,Green shoulders and stripes that disappear when ripe,,,,,,
21,Arbason,https://njaes.rutgers.edu/tomato-varieties/variety.php?Arbason,,,Hybrid,Late,,Indeterminate,6 ft.,10 oz.,Round,Red,Red,,,,,,,,
22,Argentina Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Argentina+Cherry,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,1 oz.,Cherry,Red,Red,,,,,,,,
23,Arkansas Traveler,https://njaes.rutgers.edu/tomato-varieties/variety.php?Arkansas+Traveler,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,6 oz.,Round,Red,Red,,,USA,Bred by U. of Arkansas in 1968.,,Commercial,,
24,Armenian,https://njaes.rutgers.edu/tomato-varieties/variety.php?Armenian,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,12 oz.,Beefsteak,Bi-color,Red,,"Yellow fruit, red streaks.",,,Fresh,,,
25,Artic Rose,https://njaes.rutgers.edu/tomato-varieties/variety.php?Artic+Rose,,,Open Pollinated,Mid,,Determinate,2 ft.,6 oz.,Round,Pink,Pink,,,,,,,,
26,Attention,https://njaes.rutgers.edu/tomato-varieties/variety.php?Attention,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
27,Aubry's Special Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aubry's+Special+Pink,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Pink,Pink,,"Beefsteak, meaty with few seeds",,,,,,
28,Aunt Gertie's Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Gertie's+Gold,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,6 ft.,16 oz.,Round,Yellow,Yellow,,Fruity sweet flavor?,,,Fresh,Commercial,,
29,Aunt Ginny's,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ginny's,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,14 oz.,Beefsteak,Pink,Pink,,,,,,,,
30,Aunt Molly's Ground Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Molly's+Ground+Cherry,,Specialty,Open Pollinated,Mid,Narrow,Indeterminate,3 ft.,0.25 oz.,,Yellow,,,A tomato relative.  Fruit covered by a husk have a unique fruity flavor.,,,,,,
31,Aunt Ruby's German Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ruby's+German+Cherry,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,1.5 oz.,Cherry,Green,Green,,,,,,,,
32,Aunt Ruby's German Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ruby's+German+Green,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,12 oz.,Beefsteak,Green,Green,,Fruit turns slightly yellow when ripe.  Flesh blushed with pink.,,,Fresh,"Seed Exchange, Commercial",,
33,Austin's Red Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Austin's+Red+Pear,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,6 ft.,0.75 oz.,Small Pear,Red,Red,,,,,Fresh,Seed Exchange,,
34,Azoychka,https://njaes.rutgers.edu/tomato-varieties/variety.php?Azoychka,,Heirloom,Open Pollinated,Very Early,Narrow,Determinate,4 ft.,8 oz.,Beefsteak,Yellow,Yellow,,"Compact plants? ""Azoychka"" is a Russian woman's name.  Citrus taste?",Russia,,Fresh,Seed Exchange,,
35,Baby Bottle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.25 oz.,Small Pear,Red,Red,,,,,,,,
36,Baby Bottle Red Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle+Red+Pear,,,Hybrid,Mid,,Indeterminate,,,Pear,Red,Red,,,,,,,,
37,Baby Cakes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Cakes,,Specialty,Hybrid,Early,Narrow,Determinate,4 ft.,1.5 inches,Cherry,Red,Red,,Natural salty flavor?,,,,,,
38,Baby Grape,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Grape,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,1 oz.,Grape,Red,Red,,1 inch  long plum shape.,,,,,,
39,Bali,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bali,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Flattened Globe,Pink,Pink,,,,From island of Bali Indonesia. Very ribbed fruit.,,,,
40,Ball's Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ball's+Beefsteak,,Garden,Hybrid,Late,Normal,Indeterminate,5 ft.,12 oz.,Beefsteak,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",
41,Banana Legs,https://njaes.rutgers.edu/tomato-varieties/variety.php?Banana+Legs,,Heirloom,Open Pollinated,Late,Normal,Determinate,3 ft.,2 oz.,Long Pointed,Yellow,Yellow,,"Meaty and low in acid?; Fruit is 4"" long by 1.5"" in diameter.",,,Fresh,Commercial,,
42,Barnes Mountain Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Barnes+Mountain+Yellow,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Orange,Orange,,,,,,,,
43,Bartelly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bartelly,,Specialty,Hybrid,Very Early,Normal,Indeterminate,5 ft.,0.5 oz.,Grape,Red,Red,,1-inch wide fruit.,,,,,,
44,Basinga,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basinga,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,8 oz.,Round,Yellow,Yellow,,,,,,,,
45,Basket Vee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basket+Vee,,Garden,Open Pollinated,Mid,Normal,Determinate,4 ft.,9 oz.,Flattened Globe,Red,Red,,,,,,,Verticillium Wilt,
46,Basrawya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basrawya,,,Open Pollinated,Late,,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
47,Baxter's Early Bush Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baxter's+Early+Bush+Cherry,,,Open Pollinated,Mid,,Determinate,4 ft.,2 oz.,Cherry,Red,Red,,Compact plant.,,,,,,
48,Beall's Gourmet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beall's+Gourmet,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,12 oz.,Beefsteak,Red,Red,,,,,,,,
49,Beam's Yellow Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beam's+Yellow+Pear,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7 ft.,0.55 oz.,Pear,Yellow,Yellow,,Said to be a the best yellow pear strain.,,,Fresh,Seed Exchange,,
50,Bear Creek,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bear+Creek,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,8 oz.,Round,Bi-color,Red,,Brandywine and Cherokee Purple cross,USA,,,,,
51,Beauty King,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beauty+King,,,Open Pollinated,Late,,Indeterminate,5 ft.,16 oz.,Beefsteak,Bi-color,Bi-color,,Yellow with Red stripes. A cross of 'Big Rainbow' and 'Green Zebra'.,,,,,,
52,Beauty Queen,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beauty+Queen,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,8 oz.,Round,Bi-color,Yellow,,,,,,,,
53,Beefmaster,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beefmaster,,Specialty,Hybrid,Mid,Normal,Indeterminate,6 ft.,16 oz.,Flattened Globe,Red,Red,,,,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
54,Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beefsteak,,,Open Pollinated,Late,,Indeterminate,4 ft.,16 oz.,Beefsteak,Red,Red,,Slightly ribbed.,,,,,,
55,Believe It Or Not,https://njaes.rutgers.edu/tomato-varieties/variety.php?Believe+It+Or+Not,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,16 oz.,Round,Red,,,Sweet juicy tomato flavor?,,,,Commercial,,
56,Bella Rosa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bella+Rosa,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,10 oz.,Round,Red,Red,,Heat tolerant-resistant to spotted wilt virus.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",
57,Bellestar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bellestar,,Commercial,Open Pollinated,Late,Normal,Determinate,3 ft.,4 oz.,Plum,Red,Red,,Square-round red fruits are jointless.,,"Developed by Dr. Jack Metcalf, Smithfield Experiment Farm, Ontario, Canada.",,,,
58,Bellini,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bellini,,,Hybrid,Early,,Indeterminate,5 ft.,1 oz.,Round,Orange,Orange,,Sweet low acid flavor.,,,,,,
59,Best Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Best+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,4 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Firm fruit.,,,,,,
60,Betalux,https://njaes.rutgers.edu/tomato-varieties/variety.php?Betalux,,Heirloom,Open Pollinated,Early,Potato,Determinate,2 ft.,4 oz.,Flattened Globe,Red,Red,Tomato Flavor,Potato leaves.,,,,,,
61,Better Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Better+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,12 oz.,Flattened Globe,Red,Red,,Similar to 'Big Boy' with additional disease resistance.,USA,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
62,Better Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Better+Bush,,Garden,Hybrid,Mid,Normal,Determinate,2 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Compact plant. VF.,,,,,,
63,Betty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Betty,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
64,BHN  785,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN++785,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,0.5 oz.,Grape,Red,Red,,"Resistance to F, concentrated set of smooth, firm fruit",,,,,,
65,BHN 1021,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+1021,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
66,BHN 189,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+189,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
67,BHN 268,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+268,,Commercial,Hybrid,Early,Narrow,Determinate,4 ft.,1 oz.,Cherry,Red,Red,,Extra-firm fruit hold up well.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",
68,BHN 444,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+444,,,Hybrid,Mid,,Determinate,3 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
69,BHN 543,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+543,,Commercial,Hybrid,Mid,Normal,Determinate,,,Flattened Globe,Red,Red,,"Deep globe, large-extra large fruit.",,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
70,BHN 589,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+589,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,7 oz.,Flattened Globe,Red,Red,,A commercial farm variety with good flavor.  Firm crack resistant fruit.,USA,,Fresh,Commercial,,
71,BHN 602,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+602,,,Hybrid,Mid,,Determinate,3 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
72,BHN 624,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+624,,Commercial,Hybrid,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Cherry,Red,Red,,,,,,,,
73,BHN 762,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+762,,Commercial,Hybrid,Mid,Normal,Indeterminate,8 ft.,1 inch,Cherry,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1",
74,BHN 826,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+826,,Commercial,Hybrid,Mid,Narrow,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,Tomato Flavor,A commercial farm variety said to have good flavor.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
75,BHN 871,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+871,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,12 oz.,Flattened Globe,Orange,Orange,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",
76,BHN 901,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+901,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,6 oz.,Plum,Yellow,Yellow,,,,,,,,
77,BHN 961,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+961,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,10 oz.,Round,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
78,BHN 964,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+964,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,Tomato Flavor,Early blight tolerant. VFT.,USA,,,,,
79,BHN YC1,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+YC1,,Commercial,Hybrid,Mid,Normal,,4 ft.,.5 oz.,Grape,Yellow,Yellow,,,USA,,,,,
80,Bi-Color Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bi-Color+Cherry,,Heirloom,Open Pollinated,Early,Normal,Indeterminate,8 ft.,0.75 oz.,Cherry,Bi-color,Red,Sweet,Sweet flavor.,,,Fresh,Seed Exchange,,
81,Big Beef,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Beef,,Garden,Hybrid,Mid,Narrow,Indeterminate,5 ft.,10 oz.,Beefsteak,Red,Red,,Smooth fruit.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker, Tobbacco Mosaic Virus",
82,Big Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Boy,,Garden,Hybrid,Mid,Narrow,Indeterminate,,,Flattened Globe,Red,Red,,Long-time garden favorite.,USA,,Fresh,Commercial,,
83,Big Brandy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Brandy,,,Hybrid,Mid,,Indeterminate,4 ft.,12 oz.,Beefsteak,Pink,Pink,,Cross brandywine and New Big dwarf.,,,,,,
84,Big Bunch,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Bunch,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",
85,Big League,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+League,,Garden,Hybrid,Early,Normal,Determinate,4 ft.,16 oz.,Flattened Globe,Red,Red,Tomato Flavor,Large fruit for a container variety.,,,,,,
86,Big Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Pink,,,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,8-10 oz.,Round,Pink,,,,,,,,,
87,Big Rainbow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Rainbow,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,14 oz.,Beefsteak,Bi-color,Bi-color,,,,,,,,
88,Big Raspberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Raspberry,,Heirloom,Open Pollinated,Mid,Potato,Indeterminate,6 ft.,6-10 oz.,Beefsteak,Red,Red,,Meaty and sweet?,,,,,,
89,Big Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Red,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,16 oz.,Globe,Red,Red,,Good slicing tomato,USA,,,,,
90,Big Tiger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Tiger,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,12 oz.,Round,Bi-color,Red,,,USA,,Fresh,Seed Exchange,,
91,Big White,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+White,,,,,,Indeterminate,8 ft.,14 oz.,,White,Bi-color,,,,,,,,
92,Big White Pink Stripes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+White+Pink+Stripes,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8 ft.,14 oz.,Beefsteak,White,Pink,,,,,,,,
93,Big Yummy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Yummy,,,Hybrid,Mid,,Determinate,4 ft.,8 oz.,Round,Red,Red,,Nearly seedless. F1A.,,,,,,
94,Big Zebra,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Zebra,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,10 oz.,Beefsteak,Bi-color,,,Mild sweet flavor?,,,Fresh,Commercial,,
95,Bison,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bison,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,3 ft.,8 oz.,Round,Red,Red,,,USA,Originated from North Dakota State University.,,,,
96,Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,10 oz.,Beefsteak,Black,Black,,Unique mahogany  color.,Russia,,Fresh,Commercial,,
97,Black Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Cherry,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,0.6 oz.,Cherry,Black,Black,,Sweet yet rich and complex flavor.,,,Fresh,Commercial,,
98,Black Icicle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Icicle,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,4 oz.,Plum,Black,Red,,,,,,,,
99,Black Krim,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Krim,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,8 oz.,Flattened Globe,Black,Black,,Green/Brown shoulders.,Russia,,,,,
100,Black Mauri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Mauri,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Grape,Black,Black,,,Russia,,,,,
101,Black Opal,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Opal,,,Open Pollinated,Mid,,Indeterminate,7 ft.,1 oz.,Cherry,Black,Black,,Bred from the heirloom 'Black Cherry'.,,,,,,
102,Black Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pear,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5 ft.,,Pear,Black,Red,,,,,Fresh,"Seed Exchange, Commercial",,
103,Black Pearl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pearl,,Garden,Hybrid,Early,Narrow,Indeterminate,6 ft.,1.5 inches,Cherry,Black,Red,Sweet,Can be chilled for sweet grape flavor?,,,,,,
104,Black Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Plum,,Specialty,Open Pollinated,Late,Normal,Indeterminate,8 ft.,2 oz.,Plum,Black,Black,,Sweet and fruity.,,,,,,
105,Black Prince,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Prince,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,6 oz.,Round,Black,Black,,,,,,,,
106,Black Sea Man,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Sea+Man,,,Open Pollinated,Mid,Potato,Determinate,4 ft.,12 oz.,Round,Black,Black,,,,,,,,
107,Black Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Strawberry,,Commercial,Hybrid,Early,Normal,Indeterminate,5 ft.,1 oz.,Cherry,Purple,Red,,Marbled skin purple red and gold,,,,,,
108,Black Velvet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Velvet,,Heirloom,Hybrid,Mid,Narrow,Indeterminate,5 ft.,4 oz.,Round,Black,,,,,,,,,
109,Black Vernissage (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Vernissage+(2),,Garden,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,2 oz.,Cherry,Bi-color,Red,,"Green and black stripes on skin, heat tolerant",Ukraine,,,,,
110,Black Zebra,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Zebra,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,4 oz.,Round,Black,Black,,Cross between a black variey and 'Green Zebra'.,,,,,,
111,Bliss,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bliss,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Yellow,Yellow,,"Perfect for snacking, sweet",,,,,,
