,Unnamed: 0,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws,Plant Height Unit,Fruit Size Unit
16,16,Anna Aasa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Anna+Aasa,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,,0.38,Cherry,Red,Red,,,,,,,,,,oz.
17,17,Apero,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apero,,Commercial,Hybrid,Early,Normal,Indeterminate,6,1,Grape,Red,Red,,"High resistance to FNT, exceptional flavor? and foliar disease resistance",,,,,,,ft.,oz.
18,18,Applause,https://njaes.rutgers.edu/tomato-varieties/variety.php?Applause,,Commercial,Hybrid,Early,Normal,Determinate,3,8,Flattened Globe,Red,Red,,Compact.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,- 12 oz.
19,19,Apple Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apple+Yellow,,Garden,Hybrid,Mid,Normal,Indeterminate,7,1,Grape,Yellow,Yellow,,"2020 AAS Winner, fruit shaped like an apple with dimpled blossom end.",,,,,,,ft.,oz.
20,20,Apricot Zebra Hybrid,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apricot+Zebra+Hybrid,,Garden,Hybrid,Early,Normal,Indeterminate,6,3,Cherry,Orange,Orange,,Green shoulders and stripes that disappear when ripe,,,,,,,ft.,oz.
21,21,Arbason,https://njaes.rutgers.edu/tomato-varieties/variety.php?Arbason,,,Hybrid,Late,,Indeterminate,6,10,Round,Red,Red,,,,,,,,,ft.,oz.
22,22,Argentina Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Argentina+Cherry,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,8,1,Cherry,Red,Red,,,,,,,,,ft.,oz.
23,23,Arkansas Traveler,https://njaes.rutgers.edu/tomato-varieties/variety.php?Arkansas+Traveler,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5,6,Round,Red,Red,,,USA,Bred by U. of Arkansas in 1968.,,Commercial,,,ft.,oz.
24,24,Armenian,https://njaes.rutgers.edu/tomato-varieties/variety.php?Armenian,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,12,Beefsteak,Bi-color,Red,,"Yellow fruit, red streaks.",,,Fresh,,,,ft.,oz.
25,25,Artic Rose,https://njaes.rutgers.edu/tomato-varieties/variety.php?Artic+Rose,,,Open Pollinated,Mid,,Determinate,2,6,Round,Pink,Pink,,,,,,,,,ft.,oz.
26,26,Attention,https://njaes.rutgers.edu/tomato-varieties/variety.php?Attention,,Garden,Hybrid,Mid,Normal,Indeterminate,6,8,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
27,27,Aubry's Special Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aubry's+Special+Pink,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6,12,Flattened Globe,Pink,Pink,,"Beefsteak, meaty with few seeds",,,,,,,ft.,oz.
28,28,Aunt Gertie's Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Gertie's+Gold,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,6,16,Round,Yellow,Yellow,,Fruity sweet flavor?,,,Fresh,Commercial,,,ft.,oz.
29,29,Aunt Ginny's,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ginny's,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,14,Beefsteak,Pink,Pink,,,,,,,,,ft.,oz.
30,30,Aunt Molly's Ground Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Molly's+Ground+Cherry,,Specialty,Open Pollinated,Mid,Narrow,Indeterminate,3,0.25,,Yellow,,,A tomato relative.  Fruit covered by a husk have a unique fruity flavor.,,,,,,,ft.,oz.
31,31,Aunt Ruby's German Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ruby's+German+Cherry,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7,1.5,Cherry,Green,Green,,,,,,,,,ft.,oz.
32,32,Aunt Ruby's German Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Aunt+Ruby's+German+Green,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6,12,Beefsteak,Green,Green,,Fruit turns slightly yellow when ripe.  Flesh blushed with pink.,,,Fresh,"Seed Exchange, Commercial",,,ft.,oz.
33,33,Austin's Red Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Austin's+Red+Pear,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,6,0.75,Small Pear,Red,Red,,,,,Fresh,Seed Exchange,,,ft.,oz.
34,34,Azoychka,https://njaes.rutgers.edu/tomato-varieties/variety.php?Azoychka,,Heirloom,Open Pollinated,Very Early,Narrow,Determinate,4,8,Beefsteak,Yellow,Yellow,,"Compact plants? ""Azoychka"" is a Russian woman's name.  Citrus taste?",Russia,,Fresh,Seed Exchange,,,ft.,oz.
35,35,Baby Bottle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.25,Small Pear,Red,Red,,,,,,,,,ft.,oz.
36,36,Baby Bottle Red Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle+Red+Pear,,,Hybrid,Mid,,Indeterminate,,,Pear,Red,Red,,,,,,,,,,
37,37,Baby Cakes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Cakes,,Specialty,Hybrid,Early,Narrow,Determinate,4,1.5,Cherry,Red,Red,,Natural salty flavor?,,,,,,,ft.,inches
38,38,Baby Grape,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Grape,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6,1,Grape,Red,Red,,1 inch  long plum shape.,,,,,,,ft.,oz.
39,39,Bali,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bali,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,2,Flattened Globe,Pink,Pink,,,,From island of Bali Indonesia. Very ribbed fruit.,,,,,ft.,oz.
40,40,Ball's Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ball's+Beefsteak,,Garden,Hybrid,Late,Normal,Indeterminate,5,12,Beefsteak,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",,ft.,oz.
41,41,Banana Legs,https://njaes.rutgers.edu/tomato-varieties/variety.php?Banana+Legs,,Heirloom,Open Pollinated,Late,Normal,Determinate,3,2,Long Pointed,Yellow,Yellow,,"Meaty and low in acid?; Fruit is 4"" long by 1.5"" in diameter.",,,Fresh,Commercial,,,ft.,oz.
42,42,Barnes Mountain Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Barnes+Mountain+Yellow,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,16,Beefsteak,Orange,Orange,,,,,,,,,ft.,oz.
43,43,Bartelly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bartelly,,Specialty,Hybrid,Very Early,Normal,Indeterminate,5,0.5,Grape,Red,Red,,1-inch wide fruit.,,,,,,,ft.,oz.
44,44,Basinga,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basinga,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,8,Round,Yellow,Yellow,,,,,,,,,ft.,oz.
45,45,Basket Vee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basket+Vee,,Garden,Open Pollinated,Mid,Normal,Determinate,4,9,Flattened Globe,Red,Red,,,,,,,Verticillium Wilt,,ft.,oz.
46,46,Basrawya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Basrawya,,,Open Pollinated,Late,,Indeterminate,6,8,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
47,47,Baxter's Early Bush Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baxter's+Early+Bush+Cherry,,,Open Pollinated,Mid,,Determinate,4,2,Cherry,Red,Red,,Compact plant.,,,,,,,ft.,oz.
48,48,Beall's Gourmet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beall's+Gourmet,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7,12,Beefsteak,Red,Red,,,,,,,,,ft.,oz.
49,49,Beam's Yellow Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beam's+Yellow+Pear,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7,0.55,Pear,Yellow,Yellow,,Said to be a the best yellow pear strain.,,,Fresh,Seed Exchange,,,ft.,oz.
50,50,Bear Creek,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bear+Creek,,Garden,Hybrid,Mid,Normal,Indeterminate,5,8,Round,Bi-color,Red,,Brandywine and Cherokee Purple cross,USA,,,,,,ft.,oz.
51,51,Beauty King,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beauty+King,,,Open Pollinated,Late,,Indeterminate,5,16,Beefsteak,Bi-color,Bi-color,,Yellow with Red stripes. A cross of 'Big Rainbow' and 'Green Zebra'.,,,,,,,ft.,oz.
52,52,Beauty Queen,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beauty+Queen,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,8,Round,Bi-color,Yellow,,,,,,,,,ft.,oz.
53,53,Beefmaster,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beefmaster,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,16,Flattened Globe,Red,Red,,,,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,oz.
54,54,Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beefsteak,,,Open Pollinated,Late,,Indeterminate,4,16,Beefsteak,Red,Red,,Slightly ribbed.,,,,,,,ft.,oz.
55,55,Believe It Or Not,https://njaes.rutgers.edu/tomato-varieties/variety.php?Believe+It+Or+Not,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6,16,Round,Red,,,Sweet juicy tomato flavor?,,,,Commercial,,,ft.,oz.
56,56,Bella Rosa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bella+Rosa,,Garden,Hybrid,Mid,Normal,Determinate,4,10,Round,Red,Red,,Heat tolerant-resistant to spotted wilt virus.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",,ft.,oz.
57,57,Bellestar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bellestar,,Commercial,Open Pollinated,Late,Normal,Determinate,3,4,Plum,Red,Red,,Square-round red fruits are jointless.,,"Developed by Dr. Jack Metcalf, Smithfield Experiment Farm, Ontario, Canada.",,,,,ft.,oz.
58,58,Bellini,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bellini,,,Hybrid,Early,,Indeterminate,5,1,Round,Orange,Orange,,Sweet low acid flavor.,,,,,,,ft.,oz.
59,59,Best Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Best+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,4,8,Flattened Globe,Red,Red,Tomato Flavor,Firm fruit.,,,,,,,ft.,oz.
60,60,Betalux,https://njaes.rutgers.edu/tomato-varieties/variety.php?Betalux,,Heirloom,Open Pollinated,Early,Potato,Determinate,2,4,Flattened Globe,Red,Red,Tomato Flavor,Potato leaves.,,,,,,,ft.,oz.
61,61,Better Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Better+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,5,12,Flattened Globe,Red,Red,,Similar to 'Big Boy' with additional disease resistance.,USA,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,oz.
62,62,Better Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Better+Bush,,Garden,Hybrid,Mid,Normal,Determinate,2,8,Flattened Globe,Red,Red,Tomato Flavor,Compact plant. VF.,,,,,,,ft.,oz.
63,63,Betty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Betty,,Specialty,Hybrid,Mid,Normal,Determinate,4,16,Beefsteak,Red,Red,,,,,,,,,ft.,oz.
64,64,BHN  785,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN++785,,Commercial,Hybrid,Mid,Normal,Determinate,3,0.5,Grape,Red,Red,,"Resistance to F, concentrated set of smooth, firm fruit",,,,,,,ft.,oz.
65,65,BHN 1021,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+1021,,Commercial,Hybrid,Mid,Normal,Determinate,4,10,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",,ft.,oz.
66,66,BHN 189,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+189,,Commercial,Hybrid,Mid,Normal,Determinate,4,10,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
67,67,BHN 268,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+268,,Commercial,Hybrid,Early,Narrow,Determinate,4,1,Cherry,Red,Red,,Extra-firm fruit hold up well.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
68,68,BHN 444,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+444,,,Hybrid,Mid,,Determinate,3,12,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
69,69,BHN 543,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+543,,Commercial,Hybrid,Mid,Normal,Determinate,,,Flattened Globe,Red,Red,,"Deep globe, large-extra large fruit.",,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",,,
70,70,BHN 589,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+589,,Commercial,Hybrid,Mid,Normal,Determinate,3,7,Flattened Globe,Red,Red,,A commercial farm variety with good flavor.  Firm crack resistant fruit.,USA,,Fresh,Commercial,,,ft.,oz.
71,71,BHN 602,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+602,,,Hybrid,Mid,,Determinate,3,12,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
72,72,BHN 624,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+624,,Commercial,Hybrid,Early,Normal,Indeterminate,7,0.5,Cherry,Red,Red,,,,,,,,,ft.,oz.
73,73,BHN 762,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+762,,Commercial,Hybrid,Mid,Normal,Indeterminate,8,1,Cherry,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,inch
74,74,BHN 826,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+826,,Commercial,Hybrid,Mid,Narrow,Determinate,3,10,Flattened Globe,Red,Red,Tomato Flavor,A commercial farm variety said to have good flavor.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
75,75,BHN 871,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+871,,Commercial,Hybrid,Mid,Normal,Determinate,4,12,Flattened Globe,Orange,Orange,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",,ft.,oz.
76,76,BHN 901,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+901,,Commercial,Hybrid,Mid,Normal,Determinate,4,6,Plum,Yellow,Yellow,,,,,,,,,ft.,oz.
77,77,BHN 961,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+961,,Commercial,Hybrid,Mid,Normal,Determinate,3,10,Round,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
78,78,BHN 964,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+964,,Commercial,Hybrid,Mid,Normal,Determinate,3,10,Flattened Globe,Red,Red,Tomato Flavor,Early blight tolerant. VFT.,USA,,,,,,ft.,oz.
79,79,BHN YC1,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+YC1,,Commercial,Hybrid,Mid,Normal,,4,.5,Grape,Yellow,Yellow,,,USA,,,,,,ft.,oz.
80,80,Bi-Color Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bi-Color+Cherry,,Heirloom,Open Pollinated,Early,Normal,Indeterminate,8,0.75,Cherry,Bi-color,Red,Sweet,Sweet flavor.,,,Fresh,Seed Exchange,,,ft.,oz.
81,81,Big Beef,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Beef,,Garden,Hybrid,Mid,Narrow,Indeterminate,5,10,Beefsteak,Red,Red,,Smooth fruit.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker, Tobbacco Mosaic Virus",,ft.,oz.
82,82,Big Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Boy,,Garden,Hybrid,Mid,Narrow,Indeterminate,,,Flattened Globe,Red,Red,,Long-time garden favorite.,USA,,Fresh,Commercial,,,,
83,83,Big Brandy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Brandy,,,Hybrid,Mid,,Indeterminate,4,12,Beefsteak,Pink,Pink,,Cross brandywine and New Big dwarf.,,,,,,,ft.,oz.
84,84,Big Bunch,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Bunch,,Garden,Hybrid,Mid,Normal,Indeterminate,6,10,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",,ft.,oz.
85,85,Big League,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+League,,Garden,Hybrid,Early,Normal,Determinate,4,16,Flattened Globe,Red,Red,Tomato Flavor,Large fruit for a container variety.,,,,,,,ft.,oz.
86,86,Big Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Pink,,,Open Pollinated,Mid,Narrow,Indeterminate,5,8-10,Round,Pink,,,,,,,,,,ft.,oz.
87,87,Big Rainbow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Rainbow,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7,14,Beefsteak,Bi-color,Bi-color,,,,,,,,,ft.,oz.
88,88,Big Raspberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Raspberry,,Heirloom,Open Pollinated,Mid,Potato,Indeterminate,6,6-10,Beefsteak,Red,Red,,Meaty and sweet?,,,,,,,ft.,oz.
89,89,Big Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Red,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6,16,Globe,Red,Red,,Good slicing tomato,USA,,,,,,ft.,oz.
90,90,Big Tiger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Tiger,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7,12,Round,Bi-color,Red,,,USA,,Fresh,Seed Exchange,,,ft.,oz.
91,91,Big White,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+White,,,,,,Indeterminate,8,14,,White,Bi-color,,,,,,,,,ft.,oz.
92,92,Big White Pink Stripes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+White+Pink+Stripes,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8,14,Beefsteak,White,Pink,,,,,,,,,ft.,oz.
93,93,Big Yummy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Yummy,,,Hybrid,Mid,,Determinate,4,8,Round,Red,Red,,Nearly seedless. F1A.,,,,,,,ft.,oz.
94,94,Big Zebra,https://njaes.rutgers.edu/tomato-varieties/variety.php?Big+Zebra,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6,10,Beefsteak,Bi-color,,,Mild sweet flavor?,,,Fresh,Commercial,,,ft.,oz.
95,95,Bison,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bison,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,3,8,Round,Red,Red,,,USA,Originated from North Dakota State University.,,,,,ft.,oz.
96,96,Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5,10,Beefsteak,Black,Black,,Unique mahogany  color.,Russia,,Fresh,Commercial,,,ft.,oz.
97,97,Black Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Cherry,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7,0.6,Cherry,Black,Black,,Sweet yet rich and complex flavor.,,,Fresh,Commercial,,,ft.,oz.
98,98,Black Icicle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Icicle,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7,4,Plum,Black,Red,,,,,,,,,ft.,oz.
99,99,Black Krim,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Krim,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,8,Flattened Globe,Black,Black,,Green/Brown shoulders.,Russia,,,,,,ft.,oz.
100,100,Black Mauri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Mauri,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,2,Grape,Black,Black,,,Russia,,,,,,ft.,oz.
101,101,Black Opal,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Opal,,,Open Pollinated,Mid,,Indeterminate,7,1,Cherry,Black,Black,,Bred from the heirloom 'Black Cherry'.,,,,,,,ft.,oz.
102,102,Black Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pear,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5,,Pear,Black,Red,,,,,Fresh,"Seed Exchange, Commercial",,,ft.,
103,103,Black Pearl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pearl,,Garden,Hybrid,Early,Narrow,Indeterminate,6,1.5,Cherry,Black,Red,Sweet,Can be chilled for sweet grape flavor?,,,,,,,ft.,inches
104,104,Black Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Plum,,Specialty,Open Pollinated,Late,Normal,Indeterminate,8,2,Plum,Black,Black,,Sweet and fruity.,,,,,,,ft.,oz.
105,105,Black Prince,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Prince,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,6,Round,Black,Black,,,,,,,,,ft.,oz.
106,106,Black Sea Man,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Sea+Man,,,Open Pollinated,Mid,Potato,Determinate,4,12,Round,Black,Black,,,,,,,,,ft.,oz.
107,107,Black Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Strawberry,,Commercial,Hybrid,Early,Normal,Indeterminate,5,1,Cherry,Purple,Red,,Marbled skin purple red and gold,,,,,,,ft.,oz.
108,108,Black Velvet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Velvet,,Heirloom,Hybrid,Mid,Narrow,Indeterminate,5,4,Round,Black,,,,,,,,,,ft.,oz.
109,109,Black Vernissage (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Vernissage+(2),,Garden,Open Pollinated,Mid,Normal,Indeterminate,5,2,Cherry,Bi-color,Red,,"Green and black stripes on skin, heat tolerant",Ukraine,,,,,,ft.,oz.
